city_code,grid_distance,grid_id,geometry,餐饮服务,商场,超级市场,综合市场,生活服务,体育休闲服务,医疗保健服务,住宿服务,风景名胜,商务住宅,政府机构及社会团体,学校,高等院校,地铁站,银行,公司企业,goods_predection
110108,0.05,0,"POLYGON ((116.048838 40.160985,116.098838 40.160985,116.098838 40.110985,116.048838 40.110985,116.048838 40.160985))",4,0,0,0,2,1,0,3,36,0,1,0,0,0,0,0,2895
110108,0.05,1,"POLYGON ((116.048838 40.110985,116.098838 40.110985,116.098838 40.060985,116.048838 40.060985,116.048838 40.110985))",20,0,0,2,14,33,3,14,48,7,19,1,0,0,0,9,3053
110108,0.05,2,"POLYGON ((116.048838 40.060985,116.098838 40.060985,116.098838 40.010985,116.048838 40.010985,116.048838 40.060985))",1,0,0,0,2,7,0,1,8,1,1,0,0,0,0,3,2912
110108,0.05,3,"POLYGON ((116.048838 40.010985,116.098838 40.010985,116.098838 39.960985,116.048838 39.960985,116.048838 40.010985))",48,0,8,3,30,15,4,5,16,10,78,6,0,0,4,28,2844
110108,0.05,4,"POLYGON ((116.048838 39.960985,116.098838 39.960985,116.098838 39.910985,116.048838 39.910985,116.048838 39.960985))",169,0,14,14,200,24,37,17,22,125,208,17,1,0,10,60,1536
110108,0.05,5,"POLYGON ((116.048838 39.910985,116.098838 39.910985,116.098838 39.886829,116.048838 39.886829,116.048838 39.910985))",1,0,0,2,6,2,1,0,5,5,9,0,0,0,0,5,2829
110108,0.05,6,"POLYGON ((116.098838 40.160985,116.148838 40.160985,116.148838 40.110985,116.098838 40.110985,116.098838 40.160985))",121,3,14,18,97,41,38,13,4,26,57,9,0,0,6,86,2702
110108,0.05,7,"POLYGON ((116.098838 40.110985,116.148838 40.110985,116.148838 40.060985,116.098838 40.060985,116.098838 40.110985))",105,1,21,21,124,94,31,15,36,40,110,26,7,1,7,68,3218
110108,0.05,8,"POLYGON ((116.098838 40.060985,116.148838 40.060985,116.148838 40.010985,116.098838 40.010985,116.098838 40.060985))",9,0,0,1,18,29,6,2,20,7,15,1,0,0,2,12,2985
110108,0.05,9,"POLYGON ((116.098838 40.010985,116.148838 40.010985,116.148838 39.960985,116.098838 39.960985,116.098838 40.010985))",77,0,7,18,81,14,18,10,7,25,63,6,1,0,4,37,2707
110108,0.05,10,"POLYGON ((116.098838 39.960985,116.148838 39.960985,116.148838 39.910985,116.098838 39.910985,116.098838 39.960985))",458,9,49,59,647,76,133,34,36,259,524,56,2,2,60,231,1149
110108,0.05,11,"POLYGON ((116.098838 39.910985,116.148838 39.910985,116.148838 39.886829,116.098838 39.886829,116.098838 39.910985))",364,3,31,24,357,36,58,30,14,115,95,18,0,4,21,199,3201
110108,0.05,12,"POLYGON ((116.148838 40.160985,116.198838 40.160985,116.198838 40.110985,116.148838 40.110985,116.148838 40.160985))",25,0,15,6,51,28,8,1,5,5,54,4,1,0,3,90,2982
110108,0.05,13,"POLYGON ((116.148838 40.110985,116.198838 40.110985,116.198838 40.060985,116.148838 40.060985,116.148838 40.110985))",58,1,10,6,76,34,14,6,17,49,67,13,2,2,7,244,3220
110108,0.05,14,"POLYGON ((116.148838 40.060985,116.198838 40.060985,116.198838 40.010985,116.148838 40.010985,116.148838 40.060985))",203,1,29,4,205,71,44,10,15,132,114,22,3,0,10,143,1559
110108,0.05,15,"POLYGON ((116.148838 40.010985,116.198838 40.010985,116.198838 39.960985,116.148838 39.960985,116.148838 40.010985))",30,0,1,1,23,16,3,5,223,15,14,1,0,0,0,12,2738
110108,0.05,16,"POLYGON ((116.148838 39.960985,116.198838 39.960985,116.198838 39.910985,116.148838 39.910985,116.148838 39.960985))",702,9,59,69,875,108,142,62,128,391,591,54,5,5,62,506,947
110108,0.05,17,"POLYGON ((116.148838 39.910985,116.198838 39.910985,116.198838 39.886829,116.148838 39.886829,116.148838 39.910985))",168,2,18,14,264,35,30,37,12,85,123,13,0,2,16,206,3125
110108,0.05,18,"POLYGON ((116.198838 40.160985,116.248838 40.160985,116.248838 40.110985,116.198838 40.110985,116.198838 40.160985))",80,1,38,11,153,38,48,10,12,40,87,11,2,0,6,118,2526
110108,0.05,19,"POLYGON ((116.198838 40.110985,116.248838 40.110985,116.248838 40.060985,116.198838 40.060985,116.198838 40.110985))",157,2,18,9,167,42,41,23,14,157,135,29,5,3,15,413,2373
110108,0.05,20,"POLYGON ((116.198838 40.060985,116.248838 40.060985,116.248838 40.010985,116.198838 40.010985,116.198838 40.060985))",65,2,39,17,172,59,41,14,21,95,81,22,2,0,13,116,2104
110108,0.05,21,"POLYGON ((116.198838 40.010985,116.248838 40.010985,116.248838 39.960985,116.198838 39.960985,116.198838 40.010985))",133,1,24,18,206,52,57,34,115,95,104,26,3,4,19,75,3618
110108,0.05,22,"POLYGON ((116.198838 39.960985,116.248838 39.960985,116.248838 39.910985,116.198838 39.910985,116.198838 39.960985))",324,6,62,57,638,159,137,42,33,321,249,84,25,2,47,408,955
110108,0.05,23,"POLYGON ((116.198838 39.910985,116.248838 39.910985,116.248838 39.886829,116.198838 39.886829,116.198838 39.910985))",768,9,45,53,875,185,188,56,30,307,442,44,4,2,93,437,1813
