lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
116.07709723532717,40.14542035610704,北京棋盘山宽院特色民宿,尖山咀,北京市,北京市,,住宿服务;旅馆招待所;旅馆招待所,100200,B0FFLEAKLE,住宿服务,旅馆招待所,旅馆招待所,
116.0861006859218,40.12449816521034,后花园旅游度假村,后二路(北京后花园),北京市,北京市,,住宿服务;住宿服务相关;住宿服务相关,100000,B0FFHJPLPQ,住宿服务,住宿服务相关,住宿服务相关,
116.08922137865024,40.12419357825595,无人机别墅(北京后二路店),"阳坊镇后二路北京后花园(阳坊镇后二路,到头)",北京市,北京市,,住宿服务;住宿服务相关;住宿服务相关,100000,B0FFL2A97E,住宿服务,住宿服务相关,住宿服务相关,
116.07564543522446,40.09483284144852,卧牛山庄,凤凰岭风景区南线旁,北京市,北京市,,住宿服务;宾馆酒店;五星级宾馆,100102,B000A8VWRQ,住宿服务,宾馆酒店,五星级宾馆,
116.08182735034345,40.08085713824069,北京妞妞宝宝度假别墅,七王坟路,北京市,北京市,,住宿服务;宾馆酒店;宾馆酒店,100100,B0FFKV6NN3,住宿服务,宾馆酒店,宾馆酒店,
116.08376721630285,40.08083133569162,享居拾闲小筑山景民宿,苏家坨镇七王坟村17号院,北京市,北京市,,住宿服务;宾馆酒店;宾馆酒店,100100,B0G1A5Z379,住宿服务,宾馆酒店,宾馆酒店,
116.08374424045365,40.08064735666304,呼吸小院儿·拾闲民宿,苏家坨镇七王坟村17号院,北京市,北京市,,住宿服务;住宿服务相关;住宿服务相关,100000,B0FFLD0HZV,住宿服务,住宿服务相关,住宿服务相关,
116.08236429612055,40.08081390160265,四季民宿(北京西山书院店),七王坟村30-2号,北京市,北京市,,住宿服务;住宿服务相关;住宿服务相关,100000,B0FFKFGKSU,住宿服务,住宿服务相关,住宿服务相关,
116.09162318241128,40.093879875347206,知青驿站,苏家坨车耳营村村,北京市,北京市,,住宿服务;旅馆招待所;旅馆招待所,100200,B0FFFADY3L,住宿服务,旅馆招待所,旅馆招待所,
116.09006318692079,40.08140984560393,香水草堂高级民宿,七王坟村35-1号院,北京市,北京市,,住宿服务;旅馆招待所;旅馆招待所,100200,B0G0BH2EY4,住宿服务,旅馆招待所,旅馆招待所,
116.08801651715451,40.07430359497692,北京美屋客栈,苏家坨镇北安河乡管家岭民俗村80号,北京市,北京市,,住宿服务;旅馆招待所;旅馆招待所,100200,B0FFLEAKJ8,住宿服务,旅馆招待所,旅馆招待所,
