lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
116.12412411155152,40.06674429261263,北安河(地铁站),16号线,北京市,北京市,,交通设施服务;地铁站;地铁站,150500,BV10740312,交通设施服务,地铁站,地铁站,
116.12773308771517,39.91465768348885,四道桥(地铁站),S1线,北京市,北京市,永定,交通设施服务;地铁站;地铁站,150500,BV10813547,交通设施服务,地铁站,地铁站,
116.11951618533074,39.91100099307157,桥户营(地铁站),S1线,北京市,北京市,永定,交通设施服务;地铁站;地铁站,150500,BV10813541,交通设施服务,地铁站,地铁站,
116.11695876914224,39.89439609512222,栗园庄(地铁站),S1线,北京市,北京市,永定,交通设施服务;地铁站;地铁站,150500,BV10813544,交通设施服务,地铁站,地铁站,
116.11592682419759,39.90375268257285,上岸(地铁站),S1线,北京市,北京市,永定,交通设施服务;地铁站;地铁站,150500,BV10813543,交通设施服务,地铁站,地铁站,
116.10813506411311,39.88907405646034,小园(地铁站),S1线,北京市,北京市,永定,交通设施服务;地铁站;地铁站,150500,BV10813542,交通设施服务,地铁站,地铁站,
116.09401288346729,39.887981788931185,石厂(地铁站),S1线,北京市,北京市,永定,交通设施服务;地铁站;地铁站,150500,BV10813546,交通设施服务,地铁站,地铁站,
116.15513384426846,40.06718118732085,温阳路(地铁站),16号线,北京市,北京市,,交通设施服务;地铁站;地铁站,150500,BV10740317,交通设施服务,地铁站,地铁站,
116.18199280233311,40.06765064478916,稻香湖路(地铁站),16号线,北京市,北京市,,交通设施服务;地铁站;地铁站,150500,BV10711029,交通设施服务,地铁站,地铁站,
116.17215280113666,39.92453223510998,苹果园(地铁站),(在建)1号线;(在建)S1线;6号线,北京市,北京市,石景山,交通设施服务;地铁站;地铁站,150500,BV10013454,交通设施服务,地铁站,地铁站,
116.1808665257818,39.926569025334395,杨庄(地铁站),6号线,北京市,北京市,石景山,交通设施服务;地铁站;地铁站,150500,BV10827741,交通设施服务,地铁站,地铁站,
116.15049130361726,39.93128896951569,模式口(地铁站),(在建)11号线西段(在建),北京市,北京市,金顶街,交通设施服务;地铁站;地铁站,150500,BV11494887,交通设施服务,地铁站,地铁站,
116.15638073302507,39.92197200134316,金安桥(地铁站),(在建)11号线西段(在建);(在建)S1线;6号线;S1线,北京市,北京市,石景山,交通设施服务;地铁站;地铁站,150500,BV11494889,交通设施服务,地铁站,地铁站,
116.15871129332396,39.91375463642905,北辛安(地铁站),(在建)11号线西段(在建),北京市,北京市,,交通设施服务;地铁站;地铁站,150500,BV11494890,交通设施服务,地铁站,地铁站,
116.15861998990832,39.90620578843934,新首钢(地铁站),(在建)11号线西段(在建),北京市,北京市,,交通设施服务;地铁站;地铁站,150500,BV11494888,交通设施服务,地铁站,地铁站,
116.18421099717719,39.90617576258305,古城(地铁站),(在建)1号线;1号线,北京市,北京市,古城,交通设施服务;地铁站;地铁站,150500,BV10000295,交通设施服务,地铁站,地铁站,
116.23242453360128,40.0706426322727,永丰(地铁站),16号线,北京市,北京市,西北旺,交通设施服务;地铁站;地铁站,150500,BV10740319,交通设施服务,地铁站,地铁站,
116.20976257458543,40.06721059065479,屯佃(地铁站),16号线,北京市,北京市,,交通设施服务;地铁站;地铁站,150500,BV10740314,交通设施服务,地铁站,地铁站,
116.24210427497277,40.064352242027084,永丰南(地铁站),16号线,北京市,北京市,西北旺,交通设施服务;地铁站;地铁站,150500,BV10740315,交通设施服务,地铁站,地铁站,
116.22592491521215,39.982776559927146,万安(地铁站),西郊线,北京市,北京市,香山,交通设施服务;地铁站;地铁站,150500,BV10968866,交通设施服务,地铁站,地铁站,
116.20964372847239,39.992297199646316,植物园(地铁站),西郊线,北京市,北京市,香山,交通设施服务;地铁站;地铁站,150500,BV10968849,交通设施服务,地铁站,地铁站,
116.19838918500652,39.992801202910464,香山(地铁站),西郊线,北京市,北京市,香山,交通设施服务;地铁站;地铁站,150500,BV10968848,交通设施服务,地铁站,地铁站,
116.24206067534949,39.98089429504929,茶棚(地铁站),西郊线,北京市,北京市,,交通设施服务;地铁站;地铁站,150500,BV10968847,交通设施服务,地铁站,地铁站,
116.22124035010536,39.93119619511711,廖公庄(地铁站),6号线,北京市,北京市,,交通设施服务;地铁站;地铁站,150500,BV11103937,交通设施服务,地铁站,地铁站,
