lon,lat,name,address,pname,cityname,business_area,type,typecode,id,type1,type2,type3,type4
116.08764820957992,40.07605955038215,阳山书院,苏家坨镇北安河乡管家岭村84号,北京市,北京市,,科教文化服务;学校;学校,141200,B0FFFD3OV5,科教文化服务,学校,学校,
116.07975552635773,39.981780257199595,龙泉镇成人学校龙泉雾小学分校,龙泉雾村曹家台7号,北京市,北京市,龙泉,科教文化服务;学校;小学,141203,B000A8WDGI,科教文化服务,学校,小学,
116.07909767659349,39.98197462227702,龙泉雾小学附属幼儿园,龙泉雾曹家台6号附近,北京市,北京市,龙泉,科教文化服务;学校;幼儿园,141204,B0FFF2XMUY,科教文化服务,学校,幼儿园,
116.08219672641508,39.96910955063989,琉璃渠小学,琉璃渠后街155号,北京市,北京市,龙泉,科教文化服务;学校;小学,141203,B000A889RR,科教文化服务,学校,小学,
116.08652114924323,40.005273565426904,灰峪幼儿园,军庄镇灰峪村,北京市,北京市,军庄镇,科教文化服务;学校;幼儿园,141204,B0FFHWN20L,科教文化服务,学校,幼儿园,
116.0864941510701,40.005229574068764,军庄中心小学附属幼儿园,202县道西50米,北京市,北京市,军庄镇,科教文化服务;学校;幼儿园,141204,B0FFKUXSHI,科教文化服务,学校,幼儿园,
116.04355540763784,39.97334523988649,北京市门头沟区妙峰山民族学校,妙峰山镇,北京市,北京市,,科教文化服务;学校;中学,141202,B000A8WEOO,科教文化服务,学校,中学,
116.07536321254538,39.94261166721622,大地幼儿园,龙山街与和平街交叉路口往南约50米(龙门新区),北京市,北京市,东辛房村,科教文化服务;学校;幼儿园,141204,B0FFF03HL4,科教文化服务,学校,幼儿园,
116.06351260642583,39.93162813766895,东辛房小学,门头沟路130号,北京市,北京市,门头沟,科教文化服务;学校;小学,141203,B0FFGHRUZK,科教文化服务,学校,小学,
116.08798440723837,39.93543006784367,门头沟区第三幼儿园,龙泉西南横街38排6号,北京市,北京市,门头沟,科教文化服务;学校;幼儿园,141204,B0FFHCO75K,科教文化服务,学校,幼儿园,
116.08652044381205,39.94082716991442,黑山小学,黑山北小街3号,北京市,北京市,门头沟,科教文化服务;学校;小学,141203,B000A845RN,科教文化服务,学校,小学,
116.08343816885464,39.93388842389793,北京市门头沟区京师实验小学,中门寺街25,北京市,北京市,门头沟,科教文化服务;学校;小学,141203,B000A7Q4M1,科教文化服务,学校,小学,
116.0745514925374,39.943751246218774,龙泉小学,龙山街附近,北京市,北京市,龙泉,科教文化服务;学校;小学,141203,B0FFF2SS7S,科教文化服务,学校,小学,
116.08427785486309,39.944043712670954,北京市门头沟区京师实验中学,福源路京师实验中学(龙门新区小区东),北京市,北京市,龙泉,科教文化服务;学校;中学,141202,B0FFGI8BDO,科教文化服务,学校,中学,
116.0773169749583,39.94546917446589,北京市门头沟区第二幼儿园,福源路,北京市,北京市,龙泉,科教文化服务;学校;幼儿园,141204,B0FFFWJQXO,科教文化服务,学校,幼儿园,
116.0837294639619,39.931532407537034,北京王森学校,中门寺16号,北京市,北京市,门头沟,科教文化服务;学校;职业技术学校|科教文化服务;培训机构;培训机构,141206|141400,B0FFGB1TS5,科教文化服务,学校,职业技术学校|科教文化服务,培训机构
116.08967021450641,39.940525619599214,北京市门头沟区职工学校,增产路36-1号,北京市,北京市,门头沟,科教文化服务;学校;成人教育,141205,B000A7PZVA,科教文化服务,学校,成人教育,
116.08912507455848,39.932531003221484,北京市门头沟外国语学校,坡头南街1号,北京市,北京市,门头沟,科教文化服务;学校;中学,141202,B0HGK7IM4W,科教文化服务,学校,中学,
116.08351346272204,39.93158248724095,北京轻工技师学院,中门寺街16号民生大厅,北京市,北京市,门头沟,科教文化服务;学校;高等院校,141201,B0FFHC50JM,科教文化服务,学校,高等院校,
116.09163172080514,39.934559727628546,门头沟区老干部大学大峪分校,大峪街道党群服务中心,北京市,北京市,大峪村,科教文化服务;学校;学校,141200,B0HAU5TDEH,科教文化服务,学校,学校,
116.08112723970699,39.927376699109494,京师实验小学附属幼儿园,中门寺街与大峪南路交叉口南200米,北京市,北京市,门头沟,科教文化服务;学校;幼儿园,141204,B0FFHQRJYY,科教文化服务,学校,幼儿园,
116.08973123014083,39.94055761178236,中共北京市委党校成人教育学院门头沟国资委党校分院,增产路36-1号,北京市,北京市,大峪村,科教文化服务;学校;学校,141200,B000A7R9RJ,科教文化服务,学校,学校,
116.08920998360439,39.9334329560329,北京市门头沟区第一幼儿园(龙山分园),大峪南路与黑山西街交叉路口北侧(龙山家园一区),北京市,北京市,门头沟,科教文化服务;学校;幼儿园,141204,B0FFKITFDM,科教文化服务,学校,幼儿园,
116.0896962214837,39.940536616351594,中共门头沟区国有资产监督管理委员会党校,增产路36-1号,北京市,北京市,门头沟,科教文化服务;学校;学校,141200,B0FFH7CIFP,科教文化服务,学校,学校,
116.12783714580915,40.13460773916761,北京市昌平区二一学校,阳坊镇大都饭店南院内,北京市,北京市,,科教文化服务;学校;中学,141202,B0FFHOERI0,科教文化服务,学校,中学,
116.1162254197414,40.128912950642096,后白虎涧小学,阳坊镇后白虎涧村,北京市,北京市,阳坊村,科教文化服务;学校;小学,141203,B000AA7ZFC,科教文化服务,学校,小学,
116.14056474579313,40.14591248945602,北京市昌平区阳坊学校,阳坊镇阳八路路北,北京市,北京市,阳坊村,科教文化服务;学校;中学,141202,B0FFH0M2GC,科教文化服务,学校,中学,
116.14137027033216,40.13443995069327,西贯市回民小学,阳坊镇西贯村,北京市,北京市,阳坊村,科教文化服务;学校;小学,141203,B000A7QRLD,科教文化服务,学校,小学,
116.11311455279318,40.11975796371486,星乐双语幼儿园,阳坊镇前白虎涧村北安河路附近,北京市,北京市,,科教文化服务;学校;幼儿园,141204,B000A882HC,科教文化服务,学校,幼儿园,
116.13699662733717,40.13981143991503,北京文礼经典学校,阳坊镇西大街18号(邮政局对面),北京市,北京市,阳坊村,科教文化服务;学校;学校,141200,B0FFIUFMMS,科教文化服务,学校,学校,
116.14173400724351,40.13596340110287,回民幼儿园,西贯市村东街与阳东路交叉口北100米,北京市,北京市,阳坊村,科教文化服务;学校;幼儿园,141204,B0FFH9RP50,科教文化服务,学校,幼儿园,
116.13880333741818,40.14570167980629,昌平区阳坊中心小学,阳坊镇阳八路,北京市,北京市,阳坊村,科教文化服务;学校;小学|科教文化服务;学校;中学|科教文化服务;培训机构;培训机构,141203|141202|141400,B000A7OMB3,科教文化服务,学校,小学|科教文化服务,学校
116.13981678441684,40.1464462241708,北京市昌平区阳坊学校启智楼,阳八路与东北街交叉路口往北约200米(阳坊中学),北京市,北京市,阳坊村,科教文化服务;学校;学校,141200,B0G07C55FP,科教文化服务,学校,学校,
116.1157138518753,40.080096339357134,北京市海淀区台头小学附设幼儿班,北安河路36号,北京市,北京市,,科教文化服务;学校;小学,141203,B0FFGXTPO8,科教文化服务,学校,小学,
116.11689759105947,40.07440385261072,中国指墨画院,草厂村路2号凤凰岭美术馆附近,北京市,北京市,,科教文化服务;学校;高等院校,141201,B000A8811A,科教文化服务,学校,高等院校,
116.11501739714797,40.0902149896226,澳大利亚国际爱丽斯幼儿园,苏家坨镇北安河路甲72号(海淀驾校旁),北京市,北京市,,科教文化服务;学校;幼儿园,141204,B0FFFVVI83,科教文化服务,学校,幼儿园,
116.11161003007724,40.098378472210754,温馨幼儿园,苏家坨镇聂各庄村正街38号,北京市,北京市,,科教文化服务;学校;幼儿园,141204,B000A883RO,科教文化服务,学校,幼儿园,
116.11401189830445,40.09700358709456,北京艺术传媒职业学院,中关村科技园区聂各庄东路10号,北京市,北京市,,科教文化服务;学校;高等院校,141201,B0FFFADYED,科教文化服务,学校,高等院校,
116.11503637761122,40.09060797875411,爱丽斯学龄前艺术培训学校,苏家坨镇北安河路甲71号,北京市,北京市,,科教文化服务;学校;幼儿园,141204,B0FFFYEBMW,科教文化服务,学校,幼儿园,
116.11022323484549,40.088981098966386,京海教学楼,北安河路69号院内,北京市,北京市,,科教文化服务;学校;学校,141200,B0FFFDNKZH,科教文化服务,学校,学校,
116.12804580424708,40.094102442114625,北京齐鲁音乐学院,苏家坨镇温北路8号,北京市,北京市,,科教文化服务;学校;高等院校,141201,B0FFI2EJUQ,科教文化服务,学校,高等院校,
116.10599911583992,40.07799706237317,首都体育学院附属竞技体育学校,苏家坨镇苏家屯镇草厂村486号首都体育学院凤凰岭校区,北京市,北京市,,科教文化服务;学校;高等院校,141201,B0FFKUQG7J,科教文化服务,学校,高等院校,
116.11689759105947,40.07440385261072,中国艺术研究院研究生院研究生课程班凤凰岭学院,中国书画艺术院(北安河路东),北京市,北京市,,科教文化服务;学校;高等院校,141201,B000A8811C,科教文化服务,学校,高等院校,
116.10513878774007,40.06489341112534,北京市第四十七中学,苏家坨镇环谷园路8号,北京市,北京市,,科教文化服务;学校;中学,141202,B000A7OTLV,科教文化服务,学校,中学,
116.12871518167935,40.09471929254208,北京八维学校(滨河基础学院),温北路8号,北京市,北京市,,科教文化服务;学校;职业技术学校,141206,B0FFI10A65,科教文化服务,学校,职业技术学校,
116.10599911583992,40.07799706237317,首都体育学院凤凰岭校区,苏家坨镇草场村486号,北京市,北京市,,科教文化服务;学校;高等院校,141201,B000A7QDX7,科教文化服务,学校,高等院校,
116.10984372989826,40.10426467337026,北京市海淀区台头小学,苏家坨镇聂各庄路13号,北京市,北京市,,科教文化服务;学校;小学,141203,B000A7P7Z8,科教文化服务,学校,小学,
116.13484381100004,40.0822269275468,北部新区苏家坨艺术幼儿园,苏家坨西路西100米,北京市,北京市,,科教文化服务;学校;幼儿园,141204,B0FFGB33E1,科教文化服务,学校,幼儿园,
116.11501037973058,40.090260979887816,北京爱丽斯艺术学校,苏家坨镇北安河路甲71号,北京市,北京市,,科教文化服务;学校;幼儿园|科教文化服务;培训机构;培训机构,141204|141400,B000A8XNLB,科教文化服务,学校,幼儿园|科教文化服务,培训机构
116.11188895693886,40.10216140421213,宏远幼儿园,聂各庄路29附近,北京市,北京市,,科教文化服务;学校;幼儿园,141204,B0FFG7D7JC,科教文化服务,学校,幼儿园,
116.13549891091724,40.085881665370415,雨露嘉禾国际全纳幼儿院,苏家坨西路(亿清佳华光电产业基地北侧约150米),北京市,北京市,,科教文化服务;学校;幼儿园,141204,B0FFLC60FB,科教文化服务,学校,幼儿园,
116.11155716418696,40.06569565921688,北京市海淀区北安河中心小学,环谷园路2号,北京市,北京市,,科教文化服务;学校;小学,141203,B000A7P7VH,科教文化服务,学校,小学,
116.11042353219844,40.06560279176641,北京市海淀区苏家坨镇中心幼儿园,苏家坨,北京市,北京市,,科教文化服务;学校;幼儿园,141204,B000A7P7Z4,科教文化服务,学校,幼儿园,
116.11689759105947,40.07440385261072,中国艺术研究院美术创作院研究生课程班凤凰岭学院,[],北京市,北京市,,科教文化服务;学校;高等院校,141201,B000A8811D,科教文化服务,学校,高等院校,
116.13084291756907,40.102482631516594,北京市海淀新区恩济幼儿园,[],北京市,北京市,,科教文化服务;学校;幼儿园,141204,B0G23ZCW8Q,科教文化服务,学校,幼儿园,
116.13079550926426,40.104828380721976,苏家坨镇老年大学,苏二路附近,北京市,北京市,,科教文化服务;学校;成人教育,141205,B0FFL5VBJN,科教文化服务,学校,成人教育,
116.13088200979273,40.102452688774605,北京市海淀新区恩济幼儿园西里分园,苏家坨镇同泽园西里15号楼,北京市,北京市,,科教文化服务;学校;幼儿园,141204,B0FFFV4KRU,科教文化服务,学校,幼儿园,
116.13398118935426,40.10231817651024,北京市海淀新区恩济幼儿园东里分园,苏家坨同泽园东里10号,北京市,北京市,,科教文化服务;学校;幼儿园,141204,B0FFHD9UAF,科教文化服务,学校,幼儿园,
